epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,1060.64,0.66425,0.4519,0.9994,0.82759,0.87532,0.86667,0.47897,1.89695,0.9757,2.29296,9.45814e-05,9.45814e-05,9.45814e-05
183,1066.88,0.63797,0.44489,0.98811,0.86893,0.85714,0.87111,0.48484,1.89401,0.93448,2.29418,9.00819e-05,9.00819e-05,9.00819e-05
184,1072.39,0.68629,0.45229,1.01856,0.85537,0.89511,0.88216,0.47994,1.89437,0.91809,2.29816,8.55823e-05,8.55823e-05,8.55823e-05
185,1078.59,0.65039,0.41103,0.98008,0.88802,0.88095,0.88438,0.47416,1.9228,0.93703,2.32213,8.10828e-05,8.10828e-05,8.10828e-05
186,1083.98,0.64337,0.42016,0.98971,0.88032,0.83333,0.879,0.47784,1.88947,0.91327,2.30178,7.65832e-05,7.65832e-05,7.65832e-05
187,1090.06,0.6923,0.4639,1.03042,0.82812,0.8516,0.87007,0.47144,1.87789,0.94907,2.2839,7.20837e-05,7.20837e-05,7.20837e-05
188,1095.76,0.65359,0.4215,0.98604,0.8304,0.88095,0.88926,0.47706,1.85927,0.96542,2.26384,6.75841e-05,6.75841e-05,6.75841e-05
189,1101.23,0.66261,0.42697,1.00274,0.80221,0.86081,0.87194,0.4844,1.84434,0.97488,2.2542,6.30846e-05,6.30846e-05,6.30846e-05
190,1107.27,0.66814,0.42926,1.01049,0.78165,0.87454,0.86707,0.48307,1.88705,0.94861,2.31193,5.85851e-05,5.85851e-05,5.85851e-05
191,1114.28,0.61386,0.38867,1.01318,0.84045,0.83333,0.85658,0.47108,1.89157,1.01301,2.33038,5.40855e-05,5.40855e-05,5.40855e-05
192,1120.22,0.60241,0.38649,0.99718,0.85239,0.83333,0.85542,0.46898,1.9033,0.98103,2.35238,4.9586e-05,4.9586e-05,4.9586e-05
193,1125.59,0.5871,0.36156,0.97005,0.85991,0.83333,0.85413,0.46423,1.90819,0.9852,2.35434,4.50864e-05,4.50864e-05,4.50864e-05
194,1131.6,0.59346,0.3741,0.9899,0.83069,0.85992,0.85578,0.46782,1.90496,0.96026,2.36026,4.05869e-05,4.05869e-05,4.05869e-05
195,1137.03,0.57763,0.3679,0.96776,0.84056,0.86067,0.85547,0.4619,1.90106,0.95626,2.35812,3.60873e-05,3.60873e-05,3.60873e-05
196,1143.09,0.60504,0.37901,0.9978,0.83947,0.85958,0.86023,0.46294,1.88292,0.96247,2.33285,3.15878e-05,3.15878e-05,3.15878e-05
197,1149.26,0.58188,0.36221,0.96893,0.83728,0.86022,0.85868,0.46809,1.88129,0.96756,2.33351,2.70882e-05,2.70882e-05,2.70882e-05
198,1155.16,0.59248,0.36845,1.01123,0.83854,0.86123,0.86186,0.46655,1.89123,0.98249,2.33473,2.25887e-05,2.25887e-05,2.25887e-05
199,1160.67,0.58278,0.35214,0.97897,0.86407,0.85191,0.86137,0.47066,1.90261,0.98631,2.33824,1.80891e-05,1.80891e-05,1.80891e-05
200,1166.03,0.58514,0.35598,0.95931,0.86441,0.8516,0.86268,0.46805,1.90693,0.98788,2.33287,1.35896e-05,1.35896e-05,1.35896e-05
