epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,247.779,1.46886,0.95538,1.48847,0.78793,0.8192,0.83901,0.39205,2.02058,1.08587,2.03058,0.000724518,0.000724518,0.000724518
43,253.185,1.47184,0.97774,1.48368,0.75463,0.81584,0.82472,0.41491,2.06165,1.10095,2.10926,0.000720019,0.000720019,0.000720019
44,259.406,1.46757,0.97523,1.47303,0.76525,0.79352,0.79499,0.39245,2.06267,1.1627,2.07463,0.000715519,0.000715519,0.000715519
45,264.867,1.44065,0.94201,1.46079,0.77385,0.79057,0.81851,0.43869,1.98805,1.15445,2.00942,0.00071102,0.00071102,0.00071102
46,271.088,1.46977,0.96705,1.47676,0.80854,0.86188,0.86378,0.43064,1.85026,1.09906,2.00858,0.00070652,0.00070652,0.00070652
47,276.564,1.44992,0.94187,1.49555,0.8388,0.80493,0.81656,0.41769,1.90641,1.28504,2.05153,0.000702021,0.000702021,0.000702021
48,282.281,1.36735,0.93078,1.41813,0.9226,0.7373,0.82786,0.40039,1.91655,1.22097,2.0193,0.000697521,0.000697521,0.000697521
49,288.246,1.38332,0.9475,1.45918,0.83608,0.79683,0.81071,0.39398,1.97337,1.1466,2.0559,0.000693022,0.000693022,0.000693022
50,293.789,1.3774,0.93005,1.45852,0.92048,0.8266,0.87871,0.43039,1.96667,1.10214,2.04492,0.000688522,0.000688522,0.000688522
51,299.952,1.34888,0.96422,1.42861,0.81283,0.81946,0.84758,0.43734,1.96974,1.22806,1.96674,0.000684022,0.000684022,0.000684022
52,305.357,1.3347,0.86427,1.36009,0.84144,0.83804,0.85453,0.43156,1.94384,1.21472,2.00272,0.000679523,0.000679523,0.000679523
53,311.59,1.35524,0.86455,1.41926,0.89672,0.89373,0.92125,0.44274,2.05224,1.16525,2.08863,0.000675023,0.000675023,0.000675023
54,317.163,1.37242,0.95745,1.43673,0.85184,0.87223,0.88191,0.44116,1.9516,1.1475,1.99965,0.000670524,0.000670524,0.000670524
55,323.375,1.40762,0.92388,1.44662,0.83421,0.84339,0.84428,0.41762,1.88891,1.10445,1.96195,0.000666024,0.000666024,0.000666024
56,328.864,1.34015,0.91032,1.42596,0.82538,0.8125,0.85853,0.40893,1.9595,1.08426,2.02118,0.000661525,0.000661525,0.000661525
57,334.503,1.32533,0.87115,1.37475,0.8273,0.83333,0.8501,0.39863,2.00692,1.14676,2.05471,0.000657025,0.000657025,0.000657025
58,340.576,1.30974,0.87261,1.40475,0.88581,0.85137,0.85956,0.42,1.94806,1.14099,2.02068,0.000652526,0.000652526,0.000652526
59,346.021,1.29791,0.84558,1.38378,0.9136,0.84787,0.86663,0.42886,1.95964,0.99262,1.99728,0.000648026,0.000648026,0.000648026
60,352.307,1.29654,0.85351,1.41829,0.80797,0.81709,0.83424,0.42765,1.99856,1.07418,2.06814,0.000643527,0.000643527,0.000643527
61,357.815,1.3566,0.83494,1.40394,0.76125,0.83956,0.86172,0.4218,2.02718,1.13423,2.12995,0.000639027,0.000639027,0.000639027
62,364.12,1.25325,0.77157,1.34861,0.8309,0.77694,0.87133,0.39293,2.01306,1.18893,2.1074,0.000634527,0.000634527,0.000634527
63,369.659,1.23159,0.81095,1.35093,0.81558,0.84764,0.87161,0.41781,1.97768,0.98976,2.056,0.000630028,0.000630028,0.000630028
64,376.039,1.21659,0.8143,1.35072,0.81909,0.90476,0.90062,0.45762,1.89965,0.98308,1.96453,0.000625528,0.000625528,0.000625528
65,381.415,1.25588,0.78406,1.35849,0.87197,0.83333,0.87737,0.45395,1.89224,1.10943,1.97963,0.000621029,0.000621029,0.000621029
66,388.338,1.28883,0.8482,1.37299,0.85663,0.82143,0.8776,0.44538,1.93333,1.04707,1.99886,0.000616529,0.000616529,0.000616529
67,393.788,1.21646,0.78199,1.33829,0.89039,0.86411,0.94011,0.49442,1.81228,0.91657,1.8732,0.00061203,0.00061203,0.00061203
